title,address,price,duzenle,m2,rooms,furnished
Apartment Walenburgerweg,3033 AJ Rotterdam (Provenierswijk),"€1,695 per month",97 m²/5 rooms/Upholstered,97 m²,5 rooms,Upholstered
Apartment Maaskade,3071 NH Rotterdam (Noordereiland),"€1,095 per month",60 m²/2 rooms/Upholstered,60 m²,2 rooms,Upholstered
Apartment Pleinweg,3083 EH Rotterdam (Carnisse),"€1,195 per month",87 m²/3 rooms/Upholstered,87 m²,3 rooms,Upholstered
Apartment Jacob Catsstraat,3035 PS Rotterdam (Oude Noorden),€790 per month,45 m²/1 room/Upholstered,45 m²,1 room,Upholstered
Apartment Mathenesserdijk 109 B 04,3027 BE Rotterdam (Spangen),€825 per month,50 m²/4 rooms/1925,50 m²,4 rooms,1925
Apartment Van der Horststraat,3039 VJ Rotterdam (Blijdorp),"€1,295 per month",63 m²/2 rooms/Furnished,63 m²,2 rooms,Furnished
Apartment Samuel Soesmanstraat,3015 GL Rotterdam (Dijkzigt),"€1,795 per month",59 m²/2 rooms/Furnished,59 m²,2 rooms,Furnished
Apartment Pompenburg 220,3032 EM Rotterdam (Oude Noorden),"€1,400 per month",62 m²/3 rooms/Shell,62 m²,3 rooms,Shell
Apartment Schinkelstraat,3061 MN Rotterdam (Kralingen West),"€2,000 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Gedempte Zalmhaven 749,3011 BT Rotterdam (Stadsdriehoek),"€2,450 per month",96 m²/3 rooms/Upholstered,96 m²,3 rooms,Upholstered
House Mecklenburgplein 6 *,3062 BL Rotterdam (Kralingen Oost),"€3,995 per month",260 m²/8 rooms/140 m²,260 m²,8 rooms,140 m²
Apartment Karel Doormanstraat,3012 GH Rotterdam (Cool),"€1,745 per month",80 m²/2 rooms/Furnished,80 m²,2 rooms,Furnished
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€2,350 per month",104 m²/3 rooms/Furnished,104 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HD Rotterdam (Provenierswijk),"€1,750 per month",94 m²/4 rooms/Furnished,94 m²,4 rooms,Furnished
Apartment Bergselaan,3038 CT Rotterdam (Bergpolder),"€1,395 per month",72 m²/4 rooms/Upholstered or furnished,72 m²,4 rooms,Upholstered or furnished
Apartment Maaskade 28 D,3071 NB Rotterdam (Noordereiland),"€1,450 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Schiedamseweg,3026 AG Rotterdam (Tussendijken),"€1,600 per month",50 m²/3 rooms/Furnished,50 m²,3 rooms,Furnished
Apartment Wierdsmaplein,3072 MJ Rotterdam (Kop van Zuid),"€5,500 per month",170 m²/3 rooms/Furnished,170 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Avenue Concordia 42 B,3062 LJ Rotterdam (Kralingen Oost),"€1,800 per month",82 m²/3 rooms/Furnished,82 m²,3 rooms,Furnished
Apartment Essenburgsingel 115 A,3022 EJ Rotterdam (Nieuwe Westen),"€2,450 per month",145 m²/4 rooms/1925,145 m²,4 rooms,1925
Apartment Stadhoudersweg,3039 ED Rotterdam (Blijdorp),"€3,500 per month",170 m²/6 rooms/Upholstered,170 m²,6 rooms,Upholstered
Apartment Joost van Geelstraat,3021 VJ Rotterdam (Middelland),"€1,175 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Berberisweg 440 B,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 442 G,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 440 C,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 440 G,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 436 C,3053 PL Rotterdam (Schiebroek),"€1,546 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 442 D,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 434 F,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berkelselaan,3038 NA Rotterdam (Bergpolder),€975 per month,47 m²/3 rooms/Upholstered,47 m²,3 rooms,Upholstered
Apartment Nico Koomanskade,3072 LM Rotterdam (Katendrecht),"€2,195 per month",85 m²/3 rooms/Furnished,85 m²,3 rooms,Furnished
Apartment Berberisweg 388,3053 PL Rotterdam (Schiebroek),"€1,625 per month",91 m²/3 rooms/Shell,91 m²,3 rooms,Shell
Apartment Berberisweg 398,3053 PL Rotterdam (Schiebroek),"€1,702 per month",106 m²/3 rooms/Shell,106 m²,3 rooms,Shell
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€1,350 per month",78 m²/2 rooms/Shell,78 m²,2 rooms,Shell
Apartment Statenweg,3039 HL Rotterdam (Blijdorp),"€1,300 per month",125 m²/4 rooms/Upholstered,125 m²,4 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Avenue Concordia 42 B,3062 LJ Rotterdam (Kralingen Oost),"€1,800 per month",82 m²/3 rooms/Furnished,82 m²,3 rooms,Furnished
Apartment Essenburgsingel 115 A,3022 EJ Rotterdam (Nieuwe Westen),"€2,450 per month",145 m²/4 rooms/1925,145 m²,4 rooms,1925
Apartment Stadhoudersweg,3039 ED Rotterdam (Blijdorp),"€3,500 per month",170 m²/6 rooms/Upholstered,170 m²,6 rooms,Upholstered
Apartment Joost van Geelstraat,3021 VJ Rotterdam (Middelland),"€1,175 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Berberisweg 440 B,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 442 G,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 440 C,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 440 G,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 436 C,3053 PL Rotterdam (Schiebroek),"€1,546 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 442 D,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 434 F,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berkelselaan,3038 NA Rotterdam (Bergpolder),€975 per month,47 m²/3 rooms/Upholstered,47 m²,3 rooms,Upholstered
Apartment Nico Koomanskade,3072 LM Rotterdam (Katendrecht),"€2,195 per month",85 m²/3 rooms/Furnished,85 m²,3 rooms,Furnished
Apartment Berberisweg 388,3053 PL Rotterdam (Schiebroek),"€1,625 per month",91 m²/3 rooms/Shell,91 m²,3 rooms,Shell
Apartment Berberisweg 398,3053 PL Rotterdam (Schiebroek),"€1,702 per month",106 m²/3 rooms/Shell,106 m²,3 rooms,Shell
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€1,350 per month",78 m²/2 rooms/Shell,78 m²,2 rooms,Shell
Apartment Statenweg,3039 HL Rotterdam (Blijdorp),"€1,300 per month",125 m²/4 rooms/Upholstered,125 m²,4 rooms,Upholstered
